config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0105,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.007128765972892254,0.0010974984083007002,paired_t_test,15,0.13573274199246196,0.1428615079653542,0.38961193494674856,True,False
cfg_0104,0.1,0.1,0.0,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007128765972892254,0.0010974984083007002,paired_t_test,15,0.13573274199246196,0.1428615079653542,0.39070943335504926,True,False
cfg_0009,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.007128765972892254,0.0010974984083007002,paired_t_test,15,0.13573274199246196,0.1428615079653542,0.39180693176334996,True,False
cfg_0008,0.1,0.0,0.0,1e-05,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007128765972892254,0.0010974984083007002,paired_t_test,15,0.13573274199246196,0.1428615079653542,0.39290443017165066,True,False
cfg_0121,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.007128773199154903,0.0010974914241923136,paired_t_test,15,0.13573273434154806,0.14286150754070298,0.39399942128504056,True,False
cfg_0120,0.1,0.1,0.0,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007128773199154903,0.0010974914241923136,paired_t_test,15,0.13573273434154806,0.14286150754070298,0.39509691270923286,True,False
cfg_0025,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.007128773199154903,0.0010974914241923136,paired_t_test,15,0.13573273434154806,0.14286150754070298,0.3961944041334252,True,False
cfg_0024,0.1,0.0,0.0,0.0001,logistic_ratio_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.007128773199154903,0.0010974914241923136,paired_t_test,15,0.13573273434154806,0.14286150754070298,0.3972918955576175,True,False
cfg_0045,0.1,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006812881791903516,0.0014588761365546775,paired_t_test,15,0.13630288257243622,0.1431157643643397,0.5149832762038011,True,False
cfg_0061,0.1,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006812890737898774,0.001458872336517321,paired_t_test,15,0.13630287321115836,0.14311576394905715,0.5164408071271316,True,False
cfg_0237,0.3,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006636397854743467,0.0015590343066545118,paired_t_test,15,0.1364793665095963,0.1431157643643397,0.5441029730224246,True,False
cfg_0236,0.3,0.0,0.1,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.006636397854743467,0.0015590343066545118,paired_t_test,15,0.1364793665095963,0.1431157643643397,0.5456620073290791,True,False
cfg_0253,0.3,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006636410714049618,0.001559014839146709,paired_t_test,15,0.1364793532350075,0.14311576394905715,0.5472142085404949,True,False
cfg_0252,0.3,0.0,0.1,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.006636410714049618,0.001559014839146709,paired_t_test,15,0.1364793532350075,0.14311576394905715,0.5487732233796415,True,False
cfg_0285,0.3,0.0,0.5,0.0001,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006662422387874243,0.0019129129029174402,paired_t_test,15,0.13645334156118288,0.14311576394905715,0.6637807773123517,True,False
cfg_0269,0.3,0.0,0.5,1e-05,logistic_ratio_proxy,p99,8,True,200.0,120.0,0.8,0.25,-0.006662420799388392,0.0019129048384456846,paired_t_test,15,0.13645334356495134,0.1431157643643397,0.6656908837790982,True,False
cfg_0092,0.1,0.0,0.5,0.0001,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.006978564968611351,0.0026376262521546146,paired_t_test,15,0.1361371989804458,0.14311576394905715,0.9099810569933421,True,False
cfg_0076,0.1,0.0,0.5,1e-05,logistic_ratio_proxy,p99,8,False,200.0,120.0,0.8,0.25,-0.006978576560165683,0.0026375770554692263,paired_t_test,15,0.13613718780417405,0.1431157643643397,0.9126016611923523,True,False
