setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
A,11,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06865151677764471,12.194379624074731,14.289788223454988,1.768638959894316,98.40599005253982,0.0,0.0,0.0
A,11,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08169134542744184,19.093865689852418,17.226427552185854,2.9528785903664714,62.847409711963714,0.013039828649797136,0.013039828649797136,0.0
A,11,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.1241113496706568,13.086851030897868,19.247841705518475,3.141813290407055,91.69509129134758,0.055459832893012095,0.055459832893012095,0.0
A,11,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.1241113496706568,13.086851030897868,19.247841705518475,3.141813290407055,91.69509129134758,0.055459832893012095,0.055459832893012095,0.0
A,11,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07832628793193834,351.63307298014297,6.274454828361939,4.002453847625168,27.30118620129125,0.009674771154293632,0.009674771154293632,0.0
A,11,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06242744781125557,1199.999999999999,14.271550611171667,0.0,1.0,-0.006224068966389142,-0.006224068966389142,0.0
A,11,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08580273111207909,19.547759955501967,15.743023716204068,3.2425211440476436,61.38810803522185,0.01715121433443438,0.01715121433443438,0.0
A,11,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06865151677764471,12.194379624074731,14.289788223454988,1.768638959894316,98.40599005253982,0.0,0.0,0.0
A,23,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08449788591510528,2.9941772048692834,102.2233297643533,1.0694016562289568,400.7778824977166,0.020436688539156894,0.020436688539156894,0.0
A,23,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08449788591510528,2.9941772048692834,102.2233297643533,1.0694016562289568,400.7778824977166,0.020436688539156894,0.020436688539156894,0.0
A,23,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.23408651778839384,29.024200312870267,7.077532981610262,3.900102656175414,41.344808368939646,0.17002532041244545,0.17002532041244545,0.0
A,23,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.23408651778839384,29.024200312870267,7.077532981610262,3.900102656175414,41.344808368939646,0.17002532041244545,0.17002532041244545,0.0
A,23,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.096753171702544,1233.7191973401016,3.8930270279992674,4.506058562378772,7.78134928975336,0.03269197432659561,0.03269197432659561,0.0
A,23,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.0932082910303661,1199.999999999999,8.777522109751164,0.0,1.0,0.029147093654417713,0.029147093654417713,0.0
A,23,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.13443276151175587,5.971696875342979,35.95634496841021,2.1112181361548257,200.94790895186316,0.07037156413580749,0.07037156413580749,0.0
A,23,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06406119737594838,22.534629614086157,13.520792070888676,3.4074079190622,53.25137446437055,0.0,0.0,0.0
A,47,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07666106857320727,14.875619105417547,14.87578168769914,3.231838975844835,80.66891142431794,0.0,0.0,0.0
A,47,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07666106857320727,14.875619105417547,14.87578168769914,3.231838975844835,80.66891142431794,0.0,0.0,0.0
A,47,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07848206008868687,38.1843840318135,11.148671416245985,4.460432739247376,31.426459544233566,0.0018209915154795975,0.0018209915154795975,0.0
A,47,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07848206008868687,38.1843840318135,11.148671416245985,4.460432739247376,31.426459544233566,0.0018209915154795975,0.0018209915154795975,0.0
A,47,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.09786135485091974,1033.4365150694236,6.524405534585153,5.120722793836621,9.289395003944156,0.021200286277712463,0.021200286277712463,0.0
A,47,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06806556732955193,1199.999999999999,10.610403464529861,0.0,1.0,-0.008595501243655337,-0.008595501243655337,0.0
A,47,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07666106857320727,14.875619105417547,14.87578168769914,3.231838975844835,80.66891142431794,0.0,0.0,0.0
A,47,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07666106857320727,14.875619105417547,14.87578168769914,3.231838975844835,80.66891142431794,0.0,0.0,0.0
A,89,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.0743106010972191,21.347228198221575,7.888822059636459,3.35672576234982,56.213386995859864,0.0,0.0,0.0
A,89,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.16271720380452973,20.32924089635084,9.376502590900653,3.977794679998106,59.02827390923737,0.08840660270731063,0.08840660270731063,0.0
A,89,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.11772374423120861,34.76901994184627,8.172824038953625,4.312161643695662,34.51348361281803,0.043413143133989515,0.043413143133989515,0.0
A,89,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07576411195432399,40.298233895699205,9.848968362824786,3.6474009110272974,29.777979925883173,0.0014535108571048921,0.0014535108571048921,0.0
A,89,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07219594026083707,769.4449976852253,5.881860655967917,5.556971366238087,12.476525325215336,-0.0021146608363820235,-0.0021146608363820235,0.0
A,89,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06322298274943243,1199.999999999999,12.822339209834354,0.0,1.0,-0.011087618347786668,-0.011087618347786668,0.0
A,89,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.0743106010972191,21.347228198221575,7.888822059636459,3.35672576234982,56.213386995859864,0.0,0.0,0.0
A,89,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.0743106010972191,21.347228198221575,7.888822059636459,3.35672576234982,56.213386995859864,0.0,0.0,0.0
A,131,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.10117652552951198,7.13054161638685,10.398131358293828,0.8646009353553458,168.29016146601597,0.023958505514645498,0.023958505514645498,0.0
A,131,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.10406481087748626,9.209096896811145,19.975967174259406,0.7352592579055774,130.3059369903416,0.026846790862619777,0.026846790862619777,0.0
A,131,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08407401802076574,18.531441529383866,25.580919713329447,3.564804522577804,64.75481133481408,0.006855998005899255,0.006855998005899255,0.0
A,131,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08407401802076574,18.531441529383866,25.580919713329447,3.564804522577804,64.75481133481408,0.006855998005899255,0.006855998005899255,0.0
A,131,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.10228579095862803,369.6345518001536,14.254605070027079,5.143514933336309,25.971598037108475,0.025067770943761544,0.025067770943761544,0.0
A,131,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.06595107791879493,1199.999999999999,8.879720089270766,0.0,1.0,-0.011266942096071556,-0.011266942096071556,0.0
A,131,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.08407401802076574,18.531441529383866,25.580919713329447,3.564804522577804,64.75481133481408,0.006855998005899255,0.006855998005899255,0.0
A,131,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.07721802001486648,29.088511121662236,27.217032808337063,3.003011764316906,41.253400525514714,0.0,0.0,0.0
B,11,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12022002280832889,126.35648681747385,30.559693221256275,0.07693025330939747,9.496940204122682,0.0,0.0,0.0
B,11,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.15123072599811593,13.394740027566494,43.94856136959172,0.42904313121140536,89.5874050150533,0.031010703189787048,0.031010703189787048,0.0
B,11,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2483766627954715,4.607220239942596,47.57691076014283,0.5725077803466189,260.4607414989321,0.1281566399871426,0.1281566399871426,0.0
B,11,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2483766627954715,4.607220239942596,47.57691076014283,0.5725077803466189,260.4607414989321,0.1281566399871426,0.1281566399871426,0.0
B,11,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.19942205537705987,54.22259542659379,12.230270842279435,1.0925719433619108,177.04796172640644,0.07920203256873098,0.07920203256873098,0.0
B,11,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12448040497667279,1199.999999999999,30.41017838369288,0.0,1.0,0.004260382168343901,0.004260382168343901,0.0
B,11,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18134679938313855,11.093630051599055,33.32317210327004,0.6038743190139223,108.17018364308177,0.061126776574809666,0.061126776574809666,0.0
B,11,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12022002280832889,126.35648681747385,30.559693221256275,0.07693025330939747,9.496940204122682,0.0,0.0,0.0
B,23,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.126090915035019,5.082964013063719,53.91526197401902,0.061262039645041115,236.0827258919292,0.0,0.0,0.0
B,23,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.126090915035019,5.082964013063719,53.91526197401902,0.061262039645041115,236.0827258919292,0.0,0.0,0.0
B,23,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.5326234910862403,9.755368243150988,23.580708249885447,2.5977477202029515,123.00919556136844,0.4065325760512213,0.4065325760512213,0.0
B,23,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.5326234910862403,9.755368243150988,23.580708249885447,2.5977477202029515,123.00919556136844,0.4065325760512213,0.4065325760512213,0.0
